area_type,availability,location,bhk,total_sqft,bath,balcony,price,price_per_sqft
Plot  Area,Ready To Move,Vishveshwarya Layout,1,750,1,1,30,4000
Super built-up  Area,Ready To Move,Bellandur,2,981,2,2,37.28,3800.2
Carpet  Area,18-Dec,Bhoganhalli,4,1548.3,4,1,129,8331.72
Super built-up  Area,Ready To Move,Hebbal Kempapura,4,2302,4,2,300,13032.15
Built-up  Area,Ready To Move,Kalyan nagar,3,1410,2,2,60,4255.32
Super built-up  Area,19-Mar,Hosa Road,3,1525.84,3,1,117,7667.91
Super built-up  Area,Ready To Move,Begur Road,2,1200,2,2,42.6,3550
Built-up  Area,Ready To Move,Sampangi Rama Nagar,2,1030,2,2,80,7766.99
Super built-up  Area,Ready To Move,BTM 1st Stage,3,1852,2,0,95,5129.59
Built-up  Area,18-Dec,Electronic City,2,1160,2,1,33.5,2887.93
Built-up  Area,Ready To Move,Jigani,2,918,2,1,49,5337.69
Super built-up  Area,19-Dec,Hebbal,3,1255,2,1,90,7171.31
Plot  Area,Ready To Move,HRBR Layout,6,1200,6,3,250,20833.33
Built-up  Area,Ready To Move,JP Nagar,3,1150,2,2,49.9,4339.13
Super built-up  Area,Ready To Move,Indira Nagar,3,2700,3,0,324,12000
Built-up  Area,18-Mar,Moodalapalya,2,1150,2,2,69,6000
Super built-up  Area,Ready To Move,Whitefield,2,1227,2,2,53.49,4359.41
Super built-up  Area,18-Dec,Hebbal,3,1255,3,2,77.68,6189.64
Plot  Area,Ready To Move,Moodalapalya,6,840,8,0,120,14285.71
Super built-up  Area,Ready To Move,Panathur,2,1198,2,1,82,6844.74
Plot  Area,Ready To Move,Devarachikkanahalli,3,1200,3,1,160,13333.33
Built-up  Area,Ready To Move,Nelamangala,4,2600,3,1,95,3653.85
Super built-up  Area,Ready To Move,Thigalarapalya,3,2072,4,2,139,6708.49
Super built-up  Area,Ready To Move,Pattandur Agrahara,2,797,2,1,32,4015.06
Built-up  Area,Ready To Move,Nayandanahalli,3,1350,2,3,68,5037.04
Built-up  Area,Ready To Move,Sahakara Nagar,4,2500,4,0,200,8000
Super built-up  Area,Ready To Move,Thigalarapalya,3,2215,4,2,160,7223.48
Super built-up  Area,21-Dec,Kanakpura Road,1,525,1,1,30,5714.29
Super built-up  Area,Ready To Move,Bannerghatta Road,4,2700,4,3,260,9629.63
Super built-up  Area,Ready To Move,Gokaula Extension,3,1500,2,1,90,6000
Plot  Area,Ready To Move,Subash Nagar,2,900,2,0,55,6111.11
Super built-up  Area,Ready To Move,Poorna Pragna Layout,3,1355,2,3,58.27,4300.37
Super built-up  Area,Ready To Move,Kudlu Gate,3,1465,2,2,49.81,3400
Plot  Area,Ready To Move,Ramamurthy Nagar,2,1006,2,1,57,5666
Built-up  Area,Ready To Move,Vishveshwarya Layout,4,2000,4,1,75,3750
Super built-up  Area,18-Aug,Electronic City,2,1128,2,1,65.7,5824.47
Built-up  Area,Ready To Move,Pattanagere,2,850,2,0,35,4117.65
Super built-up  Area,Ready To Move,ISRO Layout,3,1310,2,3,68,5190.84
Super built-up  Area,Ready To Move,Banashankari,2,1390,2,2,86,6187.05
Super built-up  Area,Ready To Move,Kathriguppe,3,1390,2,2,76.45,5500
Plot  Area,Ready To Move,Marathahalli,4,2396,4,2,325,13564.27
Super built-up  Area,Ready To Move,Electronic City,2,1170,2,1,33,2820.51
Super built-up  Area,Ready To Move,Gottigere,3,1385,2,2,50,3610.11
Super built-up  Area,Ready To Move,Old Madras Road,2,1160,2,1,42,3620.69
Super built-up  Area,18-May,Electronic City Phase II,2,1160,2,1,33.5,2887.93
Super built-up  Area,Ready To Move,Bannerghatta Road,3,1200,2,2,69,5750
Super built-up  Area,Ready To Move,Mahadevpura,2,1475,2,2,55,3728.81
Built-up  Area,20-Jul,Sarjapur  Road,3,1939,3,0,98,5054.15
Built-up  Area,Ready To Move,7th Phase JP Nagar,2,850,2,2,42,4941.18
Built-up  Area,17-May,Balagere,1,675,1,1,45,6666.67
Built-up  Area,Ready To Move,Electronic City,2,1060,2,1,51,4811.32
Super built-up  Area,18-Jun,Whitefield,2,1235,2,2,47,3805.67
Plot  Area,18-May,RTO ullalu,2,600,4,1,110,18333.33
Super built-up  Area,Ready To Move,Austin Town,2,1250,2,1,60,4800
Super built-up  Area,Ready To Move,Banashankari,2,1460,2,3,70,4794.52
Super built-up  Area,Ready To Move,Akshaya Nagar,3,1690,3,2,85,5029.59
Built-up  Area,Ready To Move,Indira Nagar,1,850,1,2,57,6705.88
Super built-up  Area,Ready To Move,Kanakpura Road,3,1843,3,2,82,4449.27
Built-up  Area,Ready To Move,7th Phase JP Nagar,3,1680,3,2,117,6964.29
Super built-up  Area,Ready To Move,Kundalahalli,2,1047,2,1,84,8022.92
Super built-up  Area,18-Jun,8th Phase JP Nagar,2,1100,2,2,35,3181.82
Plot  Area,Ready To Move,Indira Nagar,8,3250,8,1,600,18461.54
Super built-up  Area,Ready To Move,Nagarbhavi,2,1120,2,3,53,4732.14
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1095,2,2,38.33,3500.46
Super built-up  Area,19-Oct,Carmelaram,2,970,2,2,35,3608.25
Plot  Area,Ready To Move,Bommanahalli,5,1200,7,2,125,10416.67
Built-up  Area,Ready To Move,Hosa Road,3,1100,2,3,85,7727.27
Super built-up  Area,Ready To Move,Uttarahalli,3,1685,3,2,85,5044.51
Built-up  Area,Ready To Move,Doddanekundi,2,1148,2,1,59,5139.37
Built-up  Area,Ready To Move,Marathahalli,2,1050,2,1,65,6190.48
Super built-up  Area,Ready To Move,Bannerghatta Road,3,1465,2,1,76,5187.71
Plot  Area,Ready To Move,Kothanur,4,3401,5,0,230,6762.72
Built-up  Area,17-Dec,Electronic City,1,630,1,1,60,9523.81
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,1850,3,1,150,8108.11
Plot  Area,Ready To Move,Vidyaranyapura,9,1200,9,0,175,14583.33
Built-up  Area,Ready To Move,Cottonpet,4,1750,2,1,225,12857.14
Built-up  Area,Ready To Move,Shikaripalya,3,1350,3,1,60,4444.44
Super built-up  Area,Ready To Move,Sector 7 HSR Layout,3,1760,3,2,160,9090.91
Super built-up  Area,Ready To Move,Rajaji Nagar,2,1440,2,2,185,12847.22
Super built-up  Area,Ready To Move,Banashankari Stage III,2,1200,2,0,42,3500
Built-up  Area,Ready To Move,Hennur Bande,2,1100,2,1,78,7090.91
Built-up  Area,Ready To Move,Kaggadasapura,2,1140,2,2,46,4035.09
Super built-up  Area,19-Aug,Hormavu,3,1617.5,3,0,73.595,4549.92
Super built-up  Area,Ready To Move,Gottigere,2,1410,2,2,45,3191.49
Super built-up  Area,Ready To Move,Mahadevpura,3,1434,2,1,67.39,4699.44
Plot  Area,Ready To Move,"ravindra nagar, T.dasarahalli peenya",2,1180,2,2,74,6271.19
Super built-up  Area,Ready To Move,Begur Road,2,1160,2,2,42,3620.69
Super built-up  Area,Ready To Move,EPIP Zone,2,1343,2,2,86,6403.57
Built-up  Area,Ready To Move,LB Shastri Nagar,2,1184,2,1,69,5827.7
Super built-up  Area,Ready To Move,Koramangala,3,2246,3,0,300,13357.08
Built-up  Area,Ready To Move,Rajankunte,3,4510,4,3,200,4434.59
Super built-up  Area,Ready To Move,Banashankari Stage III,3,1305,2,1,59,4521.07
Super built-up  Area,Ready To Move,Sarjapur  Road,4,3785,5,0,280,7397.62
Super built-up  Area,Ready To Move,1st Block BEL Layout,3,1540,3,2,85,5519.48
Super built-up  Area,Ready To Move,Kanakpura Road,3,1550,3,3,65.11,4200.65
Super built-up  Area,Ready To Move,Yelahanka,3,1345,2,1,57,4237.92
Super built-up  Area,Ready To Move,Electronic City Phase II,3,975,2,2,45,4615.38
Super built-up  Area,Ready To Move,HSR Layout,2,1140,2,2,46,4035.09
Super built-up  Area,18-Aug,JP Nagar,2,1152,2,1,34.56,3000
Built-up  Area,Ready To Move,Old Airport Road,4,3200,4,2,700,21875
Super built-up  Area,19-Dec,Kodathi,3,1033,2,2,31.5,3049.37
Super built-up  Area,Ready To Move,Richards Town,3,1800,3,0,230,12777.78
Super built-up  Area,Ready To Move,Marathahalli,2,1102,2,2,53.67,4870.24
Super built-up  Area,Ready To Move,Subramanyapura,3,1223,2,2,42.81,3500.41
Super built-up  Area,18-Mar,Kadugodi,3,1762,3,3,112,6356.41
Built-up  Area,Ready To Move,Kengeri Satellite Town,2,560,2,1,16.6,2964.29
Built-up  Area,Ready To Move,KR Puram,6,2000,6,0,85,4250
Super built-up  Area,Ready To Move,Electronic City,3,1410,2,2,38,2695.04
Super built-up  Area,19-Dec,Thanisandra,3,1853,3,1,64.86,3500.27
Super built-up  Area,Ready To Move,Kothanur,2,1455,2,0,69,4742.27
Super built-up  Area,18-Jan,Hebbal,2,1138,2,1,110,9666.08
Built-up  Area,Ready To Move,Sarjapur  Road,3,2556,3,2,169,6611.89
Super built-up  Area,18-May,TC Palaya,3,1200,2,0,66.5,5541.67
Super built-up  Area,Ready To Move,Anantapura,2,1200,2,2,37,3083.33
Plot  Area,19-Jan,Anekal,2,1200,1,1,36,3000
Super built-up  Area,19-Jun,Whitefield,3,1870,3,2,138,7379.68
Super built-up  Area,18-May,Panathur,2,1199,2,1,86,7172.64
Plot  Area,Ready To Move,Prakruthi Township,6,800,8,0,150,18750
Super built-up  Area,Ready To Move,Doddakallasandra,3,1360,2,2,54.4,4000
Super built-up  Area,Ready To Move,Babusapalaya,3,1230,3,3,53,4308.94
Super built-up  Area,Ready To Move,Hosahalli Extension,3,2000,3,2,120,6000
Plot  Area,Ready To Move,Kasturi Nagar,4,1200,4,2,250,20833.33
Super built-up  Area,Ready To Move,Kundalahalli,2,1047,2,1,83,7927.41
Plot  Area,18-Mar,Electronic City Phase II,4,6000,4,0,260,4333.33
Plot  Area,18-Feb,Ramamurthy Nagar,2,1200,2,1,76,6333.33
Super built-up  Area,18-Jan,Kengeri Satellite Town,2,1302.5,2,0,44.285,3400
Super built-up  Area,Ready To Move,Kengeri,2,725,2,1,30,4137.93
Super built-up  Area,Ready To Move,Jakkur,3,1645,3,1,100,6079.03
Built-up  Area,Ready To Move,Sultan Palaya,2,870,2,1,65,7471.26
Super built-up  Area,Ready To Move,Marathahalli,2,1026,2,1,49.95,4868.42
Built-up  Area,18-Jul,Bennigana Halli,3,2000,3,1,145,7250
Super built-up  Area,Ready To Move,Cooke Town,2,1710,2,2,200,11695.91
Super built-up  Area,18-Apr,Hosur Road,3,1766,3,1,130,7361.27
Super built-up  Area,Ready To Move,Makali,1,500,1,1,15,3000
Built-up  Area,18-Apr,JP Nagar,2,1100,1,1,15,1363.64
Super built-up  Area,Ready To Move,Jigani,3,1221,3,3,52,4258.8
Super built-up  Area,Ready To Move,Rachenahalli,1,680,1,1,46,6764.71
Super built-up  Area,Ready To Move,Sarjapur  Road,2,1278,2,2,90,7042.25
Super built-up  Area,Ready To Move,Kodichikkanahalli,2,1025,2,2,66,6439.02
Super built-up  Area,18-Aug,Whitefield,2,1175,2,1,39,3319.15
Super built-up  Area,19-Jul,Sarjapur  Road,2,975,2,0,28.275,2900
Built-up  Area,Ready To Move,6th Phase JP Nagar,1,600,1,1,75,12500
Super built-up  Area,Ready To Move,Seethappa Layout,2,850,2,1,42,4941.18
Super built-up  Area,Ready To Move,Anjanapura,2,710,2,0,25,3521.13
Built-up  Area,18-Dec,Huskur,2,1165,2,1,33.64,2887.55
Super built-up  Area,18-Apr,Sarjapur,1,625,1,1,19,3040
Super built-up  Area,Ready To Move,Kaggadasapura,3,1340,3,1,66,4925.37
Super built-up  Area,Ready To Move,Ananth Nagar,2,937,2,1,35,3735.33
Plot  Area,Ready To Move,Lakkasandra,7,1500,6,0,210,14000
Super built-up  Area,Ready To Move,JP Nagar,1,750,1,1,52.5,7000
Built-up  Area,Ready To Move,Shampura,3,1475,3,3,78,5288.14
Plot  Area,Ready To Move,Singapura Village,4,2230,4,1,130,5829.6
Plot  Area,Ready To Move,Jnanabharathi Layout,4,2200,5,1,100,4545.45
Plot  Area,Ready To Move,Mysore Road,2,900,2,0,65,7222.22
Super built-up  Area,Ready To Move,Electronic City Phase II,2,1116,2,2,37,3315.41
Built-up  Area,Ready To Move,Hoodi,2,948,2,1,75,7911.39
Super built-up  Area,Ready To Move,R.T. Nagar,2,970,2,1,55,5670.1
Super built-up  Area,Ready To Move,Akshayanagara East,3,1519,3,2,67.23,4425.94
Super built-up  Area,Ready To Move,Thanisandra,3,1200,2,1,65,5416.67
Super built-up  Area,Ready To Move,Bhoganhalli,3,1760,3,2,127,7215.91
Plot  Area,Ready To Move,Whitefield,4,4400,5,3,525,11931.82
Super built-up  Area,Ready To Move,Sahakara Nagar,3,1914,3,3,179,9352.14
Super built-up  Area,Ready To Move,Budigere,3,1820,3,2,85.5,4697.8
Super built-up  Area,Ready To Move,Budigere,3,1820,3,2,93,5109.89
Built-up  Area,Ready To Move,Kalena Agrahara,3,1565,3,2,78,4984.03
Super built-up  Area,Ready To Move,Begur Road,2,1334,2,3,42.69,3200.15
Super built-up  Area,19-Mar,Sarakki Nagar,2,924,2,2,76.23,8250
Super built-up  Area,Ready To Move,Jigani,2,914,2,2,49,5361.05
Built-up  Area,Ready To Move,Kengeri,1,500,1,1,17,3400
Super built-up  Area,18-Mar,Yelahanka,3,2145,3,3,125,5827.51
Plot  Area,Ready To Move,Yelahanka,5,1200,5,0,162,13500
Built-up  Area,18-Apr,Electronic City,3,1650,3,2,100,6060.61
Super built-up  Area,Ready To Move,Marathahalli,4,3940,4,3,220,5583.76
Built-up  Area,18-Dec,Electronic City,2,1020,2,1,29.45,2887.25
Built-up  Area,Ready To Move,Basaveshwara Nagar,2,1180,2,3,58,4915.25
Super built-up  Area,Ready To Move,Ulsoor,2,1255,2,3,120,9561.75
Super built-up  Area,20-Jul,Langford Gardens,3,2777.29,5,2,650,23404.11
Super built-up  Area,Ready To Move,Bommasandra,2,1014,2,1,35,3451.68
Built-up  Area,Ready To Move,Shampura,4,920,2,0,90,9782.61
Super built-up  Area,Ready To Move,Attibele,2,695,1,1,25,3597.12
Plot  Area,Ready To Move,Prithvi Layout,3,2273,4,3,220,9678.84
Super built-up  Area,18-Mar,GM Palaya,2,1140,2,2,48.95,4293.86
Built-up  Area,Ready To Move,Giri Nagar,6,3000,4,1,375,12500
Super built-up  Area,Ready To Move,Whitefield,2,1180,2,2,41,3474.58
Super built-up  Area,20-Aug,Begur Road,4,2400,4,2,152,6333.33
Super built-up  Area,Ready To Move,Attibele,2,850,1,1,25,2941.18
Super built-up  Area,Ready To Move,Banashankari,2,1200,2,1,60,5000
Built-up  Area,18-Dec,"Bellandur,",4,3160,4,3,206,6518.99
Super built-up  Area,Ready To Move,Hoodi,3,1769,3,3,96.87,5475.98
Carpet  Area,18-Dec,Bhoganhalli,4,1554.3,4,1,131,8428.23
Super built-up  Area,Ready To Move,Haralur Road,2,1243,2,2,46,3700.72
Plot  Area,18-Apr,2nd Block Jayanagar,4,4920,5,2,1150,23373.98
Super built-up  Area,Ready To Move,Mallasandra,2,905,2,1,40,4419.89
Built-up  Area,Ready To Move,Kothanur,1,627,1,1,30,4784.69
Built-up  Area,18-Mar,Domlur,3,2180,3,2,285,13073.39
Super built-up  Area,Ready To Move,Frazer Town,3,2400,3,2,260,10833.33
Super built-up  Area,Ready To Move,Marathahalli,3,1435,3,1,73,5087.11
Super built-up  Area,22-May,Jakkur,4,3405.1,6,3,400,11747.09
Built-up  Area,Ready To Move,Kodihalli,3,1620,3,2,130,8024.69
Super built-up  Area,Ready To Move,Whitefield,3,1862,3,2,125,6713.21
Super built-up  Area,19-Nov,Kaikondrahalli,2,674,1,1,19.9,2952.52
Super built-up  Area,Ready To Move,Marathahalli,2,1220,2,1,59,4836.07
Super built-up  Area,Ready To Move,Haralur Road,2,1027,2,2,44,4284.32
Super built-up  Area,Ready To Move,Electronic City,2,1025,2,1,49,4780.49
Super built-up  Area,Ready To Move,Thanisandra,3,1430,2,3,54.5,3811.19
Super built-up  Area,Ready To Move,Panathur,2,1235,2,3,65,5263.16
Super built-up  Area,Ready To Move,Electronics City Phase 1,3,1291,2,3,32,2478.7
Super built-up  Area,Ready To Move,Kanakpura Road,3,1498,3,2,95,6341.79
Super built-up  Area,Ready To Move,Sarjapur  Road,3,2180,3,2,240,11009.17
Super built-up  Area,18-Apr,Electronic City,2,1000,2,1,29.7,2970
Plot  Area,Ready To Move,Ejipura,2,922,2,1,70,7592.19
Built-up  Area,Ready To Move,Victoria Layout,2,850,2,1,72,8470.59
Plot  Area,Ready To Move,New Thippasandra,3,750,3,2,155,20666.67
Super built-up  Area,Ready To Move,AECS Layout,2,1123,2,2,64,5699.02
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1235,2,1,75,6072.87
Super built-up  Area,Ready To Move,Kogilu,2,1250,2,1,55.55,4444
Plot  Area,Ready To Move,Whitefield,4,2403,5,0,360,14981.27
Super built-up  Area,18-Nov,Sarjapur  Road,2,984,2,1,45.91,4665.65
Super built-up  Area,Ready To Move,Sarjapur  Road,2,1305,2,1,99,7586.21
Plot  Area,Ready To Move,Attur Layout,2,1200,1,0,65,5416.67
Plot  Area,Ready To Move,1st Block HRBR Layout,3,600,3,1,90,15000
Super built-up  Area,19-Jun,Hebbal,4,2790,5,3,204,7311.83
Super built-up  Area,Ready To Move,Old Madras Road,4,2010,3,2,125,6218.91
Built-up  Area,Ready To Move,Electronics City Phase 1,2,995,2,0,42,4221.11
Built-up  Area,Ready To Move,Varthur Road,2,1277,2,2,59,4620.2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,1236,2,2,61.33,4961.97
Super built-up  Area,Ready To Move,Akshaya Nagar,2,1265,2,3,67,5296.44
Built-up  Area,Ready To Move,Gubbalala,5,2570,4,0,141,5486.38
Plot  Area,Ready To Move,Hennur Road,4,2400,5,3,390,16250
Super built-up  Area,Ready To Move,Shikaripalya,3,1442,3,2,56.24,3900.14
Super built-up  Area,Ready To Move,Ardendale,2,1224,2,2,70,5718.95
Super built-up  Area,Ready To Move,Bellandur,2,1205,2,1,59,4896.27
Super built-up  Area,Ready To Move,Richmond Town,2,1233,2,3,100,8110.3
Super built-up  Area,Ready To Move,5th Block Hbr Layout,2,1312,2,3,69,5259.15
Super built-up  Area,Ready To Move,Electronic City,3,1449,3,2,90,6211.18
Super built-up  Area,Ready To Move,Yelenahalli,2,1090,2,1,54,4954.13
Plot  Area,Ready To Move,Kaggadasapura,5,2100,5,0,150,7142.86
Super built-up  Area,Ready To Move,Uttarahalli,3,1390,2,3,62.55,4500
Super built-up  Area,Ready To Move,JP Nagar,2,1200,2,3,78,6500
Plot  Area,Ready To Move,Mallasandra,4,600,2,2,50,8333.33
Super built-up  Area,Ready To Move,BTM 2nd Stage,2,1000,2,2,58,5800
Plot  Area,18-Oct,Devanahalli,4,2400,5,2,190,7916.67
Super built-up  Area,21-Dec,Thanisandra,3,1732,3,1,85.73,4949.77
Super built-up  Area,Ready To Move,Banashankari,2,1290,2,2,80,6201.55
Super built-up  Area,Ready To Move,Marasandra,3,1840,3,3,85,4619.57
Super built-up  Area,Ready To Move,Thanisandra,3,1917,4,2,100,5216.48
Built-up  Area,Ready To Move,Bhuvaneshwari Nagar,2,1100,2,2,57,5181.82
Super built-up  Area,Ready To Move,Kudlu,3,1455,2,3,60,4123.71
Super built-up  Area,18-Dec,Old Airport Road,4,2774,4,3,208,7498.2
Plot  Area,Ready To Move,Haralur Road,5,1200,5,0,255,21250
Super built-up  Area,Ready To Move,Devarachikkanahalli,3,1425,2,2,65,4561.4
Super built-up  Area,18-Dec,Whitefield,3,1655,3,1,113,6827.79
Super built-up  Area,18-Mar,Haralur Road,4,2805,5,3,160,5704.1
Built-up  Area,Ready To Move,R.T. Nagar,7,600,7,3,93,15500
Super built-up  Area,Ready To Move,AGS Layout,2,1040,2,1,46.79,4499.04
Super built-up  Area,Ready To Move,Akshaya Nagar,2,1126,2,1,55,4884.55
Plot  Area,Ready To Move,Kodichikkanahalli,6,1600,4,1,200,12500
Super built-up  Area,Ready To Move,Hebbal,2,1250,2,1,55.55,4444
Plot  Area,Ready To Move,Yelahanka,4,1800,4,2,180,10000
Plot  Area,Ready To Move,Kalkere Channasandra,2,1200,2,0,53,4416.67
Built-up  Area,Ready To Move,Ashirvad Colony,4,2050,3,1,100,4878.05
Super built-up  Area,Ready To Move,Whitefield,1,530,1,1,29.44,5554.72
Built-up  Area,19-Jun,Sarjapur,4,2585.5,4,0,139.5,5395.47
Super built-up  Area,Ready To Move,Kambipura,2,883,2,1,37,4190.26
Super built-up  Area,Ready To Move,Uttarahalli,3,1490,2,2,59.6,4000
Super built-up  Area,Ready To Move,Ramagondanahalli,2,1295,2,2,95,7335.91
Super built-up  Area,Ready To Move,Sompura,3,1275,3,1,59,4627.45
Super built-up  Area,Ready To Move,Doddabanahalli,2,800,2,2,30,3750
Super built-up  Area,Ready To Move,Devanahalli,1,1200,1,0,95,7916.67
Super built-up  Area,Ready To Move,Bellandur,2,1063,2,1,58,5456.26
Super built-up  Area,Ready To Move,Balagere,1,656,1,1,43,6554.88
Super built-up  Area,Ready To Move,Shakthi Nagar,2,1125,2,2,36,3200
Super built-up  Area,18-Dec,Marathahalli,2,881,2,1,48.06,5455.16
Plot  Area,Ready To Move,Nayandanahalli,9,1350,8,2,200,14814.81
Built-up  Area,Ready To Move,Bisuvanahalli,2,700,1,1,32,4571.43
Plot  Area,Ready To Move,AGS Layout,3,1936,3,0,110,5681.82
Super built-up  Area,18-Dec,Hosa Road,3,1680,3,1,101,6011.9
Super built-up  Area,Ready To Move,Rayasandra,2,1253,2,2,57,4549.08
Super built-up  Area,Ready To Move,Rajaji Nagar,3,1640,3,3,230,14024.39
Super built-up  Area,Ready To Move,Mysore Road,3,1082,3,2,50,4621.07
Built-up  Area,18-Dec,Electronic City,2,1065,2,1,30.75,2887.32
Super built-up  Area,18-Dec,Iblur Village,3,2100,4,2,145,6904.76
Super built-up  Area,Ready To Move,Electronic City,2,1070,2,1,58,5420.56
Super built-up  Area,16-Sep,Raja Rajeshwari Nagar,3,1280,3,2,57.6,4500
Plot  Area,18-Apr,6th block Koramangala,5,1200,5,2,300,25000
Built-up  Area,18-Aug,Electronic City Phase II,2,1125,2,1,29.25,2600
Super built-up  Area,Ready To Move,Sarjapur  Road,3,1755,3,2,122,6951.57
Super built-up  Area,Ready To Move,Electronic City,2,1210,2,1,54,4462.81
Super built-up  Area,18-Sep,Talaghattapura,2,951,2,2,30.43,3199.79
Built-up  Area,18-Apr,Electronic City,3,1500,2,1,75,5000
Super built-up  Area,Ready To Move,Coffee Board Layout,3,1652.5,3,2,90,5446.29
Super built-up  Area,Ready To Move,Yeshwanthpur,3,1381,2,2,76.18,5516.29
Super built-up  Area,18-Dec,Whitefield,2,1085,2,1,57,5253.46
Super built-up  Area,18-Apr,Whitefield,1,905,1,1,50,5524.86
Super built-up  Area,Ready To Move,Hennur Road,3,1685,3,2,95,5637.98
Super built-up  Area,Ready To Move,Somasundara Palya,2,1200,2,2,75,6250
Super built-up  Area,Ready To Move,Anandapura,2,1151,2,1,42.9,3727.19
Built-up  Area,Ready To Move,Brookefield,4,3532,3,3,170,4813.14
Super built-up  Area,Ready To Move,Kanakpura Road,3,1665,3,2,86.91,5219.82
Built-up  Area,Ready To Move,Kengeri Satellite Town,2,800,2,1,40,5000
Built-up  Area,Ready To Move,Chamrajpet,2,1050,2,1,162,15428.57
Super built-up  Area,Ready To Move,Rajiv Nagar,2,1030,2,2,46.5,4514.56
Super built-up  Area,Ready To Move,Hoodi,2,1257,2,1,71.03,5650.76
Super built-up  Area,18-Dec,Whitefield,3,1600,3,2,82,5125
Super built-up  Area,Ready To Move,Choodasandra,3,1465,3,3,75,5119.45
Super built-up  Area,Ready To Move,Jakkur,3,1650,3,2,111,6727.27
Super built-up  Area,Ready To Move,Haralur Road,2,1243,2,2,46,3700.72
Built-up  Area,Ready To Move,Yelahanka New Town,2,680,1,1,80,11764.71
Plot  Area,18-Aug,Whitefield,4,1230,4,2,80,6504.07
Super built-up  Area,Ready To Move,Koramangala,2,1300,2,2,82,6307.69
Built-up  Area,Ready To Move,KR Puram,2,1000,2,1,44.5,4450
Super built-up  Area,Ready To Move,Mahadevpura,2,1146,2,1,53.8,4694.59
Super built-up  Area,Ready To Move,Hennagara,6,1200,6,3,120,10000
Super built-up  Area,18-Mar,Indira Nagar,3,2601,4,0,312,11995.39
Super built-up  Area,Ready To Move,Vishwanatha Nagenahalli,3,2159,3,2,110,5094.95
Super built-up  Area,Ready To Move,Whitefield,2,1255,2,2,40,3187.25
Super built-up  Area,Ready To Move,Hebbal Kempapura,2,1130,2,2,60,5309.73
Super built-up  Area,Ready To Move,Padmanabhanagar,2,1200,2,1,60,5000
Built-up  Area,Ready To Move,Sarjapur  Road,2,1040,2,1,37,3557.69
Plot  Area,Ready To Move,TC Palaya,8,1500,8,2,150,10000
Plot  Area,Ready To Move,Byrathi Village,4,906,3,2,55,6070.64
Super built-up  Area,Ready To Move,Uttarahalli,2,1180,2,1,41.3,3500
Plot  Area,Ready To Move,Ullal Uppanagar,7,1200,7,2,169,14083.33
Plot  Area,Ready To Move,Govindpura,6,850,7,2,100,11764.71
Super built-up  Area,Ready To Move,KR Puram,2,1200,2,3,47,3916.67
Built-up  Area,Ready To Move,Sarjapur  Road,3,1374,3,2,51,3711.79
Super built-up  Area,Ready To Move,Vidyaranyapura,9,4700,10,3,130,2765.96
Super built-up  Area,19-Dec,Whitefield,1,630.5,1,0,32.15,5099.13
Plot  Area,Ready To Move,south,3,2400,2,0,480,20000
Super built-up  Area,Ready To Move,Haralur Road,2,1027,2,2,44,4284.32
Plot  Area,Ready To Move,Ittamadu,5,1200,4,0,130,10833.33
Super built-up  Area,Ready To Move,Jalahalli,3,2384,4,2,165,6921.14
Super built-up  Area,19-Aug,Electronic City,3,1033,2,2,28.41,2750.24
Super built-up  Area,Ready To Move,Yelahanka,2,1200,2,1,54,4500
Built-up  Area,Ready To Move,Haralur Road,3,2017,3,2,105,5205.75
Plot  Area,Ready To Move,Rainbow Drive,3,1500,3,2,138,9200
Super built-up  Area,Ready To Move,Kamala Nagar,2,700,2,0,43,6142.86
Plot  Area,Ready To Move,Shampura,6,1150,6,2,75,6521.74
Super built-up  Area,Ready To Move,Kanakpura Road,3,1495,2,2,52.33,3500.33
Super built-up  Area,Ready To Move,Kothanur,2,1302,2,1,68.5,5261.14
Built-up  Area,18-Mar,Whitefield,1,905,1,1,52,5745.86
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1303,2,1,55.79,4281.66
Built-up  Area,Ready To Move,Electronics City Phase 1,3,1350,3,0,71,5259.26
Super built-up  Area,Ready To Move,Gottigere,3,1380,2,2,95,6884.06
Super built-up  Area,Ready To Move,Harlur,3,1620,3,1,110,6790.12
Built-up  Area,Ready To Move,Chandapura,4,4800,4,3,250,5208.33
Super built-up  Area,Ready To Move,Sarjapur  Road,2,1000,2,1,38.5,3850
Plot  Area,Ready To Move,Ramamurthy Nagar,3,800,4,0,88,11000
Super built-up  Area,18-Apr,Thanisandra,2,1250,1,1,54,4320
Built-up  Area,Ready To Move,3rd Block Koramangala,3,1750,3,3,170,9714.29
Super built-up  Area,Ready To Move,Anekal,3,997,3,2,55,5516.55
Super built-up  Area,15-Oct,Kothanur,3,1760,3,0,111,6306.82
Super built-up  Area,Ready To Move,Yelahanka,2,1322,2,2,75,5673.22
Plot  Area,Ready To Move,Kanaka Nagar,3,1365,3,0,99,7252.75
Super built-up  Area,Ready To Move,Sahakara Nagar,3,1500,3,2,125,8333.33
Super built-up  Area,Ready To Move,Kaggadasapura,3,1256,2,2,50,3980.89
